"I/System.out( 3745): URLConn","0","<com.facebook.GraphResponse: java.util.List fromHttpConnection(java.net.HttpURLConnection,com.facebook.GraphRequestBatch)>","$r3 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.7/171027919967874?fields=supports_implicit_sdk_logging%2Cgdpv4_nux_content%2Cgdpv4_nux_enabled%2Cgdpv4_chrome_custom_tabs_enabled%2Candroid_dialog_configs%2Candroid_sdk_error_categories%2Capp_events_session_timeout&format=json&sdk=android","false","Not found","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out( 3745): URLConn","1","<e.w.hd: e.w.hu a(e.w.hs)>","$r18 = virtualinvoke $r4.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","http://gop1.co/res/1/dottodot_a7nqjheb_en_p_480x854_1.jpg","false","26516","max-age=60480000","Not found","Not found","Not found"
"I/System.out( 3745): URLConn","2","<e.w.hd: e.w.hu a(e.w.hs)>","$r18 = virtualinvoke $r4.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","http://gop1.co/res/1/colorfitfamily_a7nqjheb_en_p_480x854_30.png","false","112337","max-age=60480000","Not found","Not found","Not found"
"I/System.out( 3745): URLConn","3","<e.w.hd: e.w.hu a(e.w.hs)>","$r18 = virtualinvoke $r4.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","http://gop1.co/res/1/drawanimal_a7nqjheb_en_p_480x854_2.png","false","37335","max-age=60480000","Not found","Not found","Not found"
"I/System.out( 3745): URLConn","4","<e.w.hd: e.w.hu a(e.w.hs)>","$r18 = virtualinvoke $r4.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","http://gop1.co/v2/1/a7nqjhebk2qydwrq5itcuvo3/br/en","false","7804","max-age=60480000","Not found","Not found","Not found"
"I/System.out( 3745): URLConn","5","<e.w.hd: e.w.hu a(e.w.hs)>","$r18 = virtualinvoke $r4.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","http://gop1.co/res/1/crossstitch_a7nqjheb_en_p_480x854_8.png","false","82992","max-age=60480000","Not found","Not found","Not found"
"I/System.out( 3745): URLConn","6","<u.aly.u: byte[] a(byte[],java.lang.String)>","$r13 = virtualinvoke $r10.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","http://alog.umeng.com/app_logs","true","171","Not found","Not found","Not found","Not found"
"I/System.out( 3745): URLConn","7","<e.w.hd: e.w.hu a(e.w.hs)>","$r18 = virtualinvoke $r4.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","http://gop1.co/res/1/crossstitch_a7nqjheb_en_p_480x854_3.png","false","117784","max-age=60480000","Not found","Not found","Not found"
"I/System.out( 3745): URLConn","8","<e.w.hd: e.w.hu a(e.w.hs)>","$r18 = virtualinvoke $r4.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","http://gop1.co/res/1/nodraw_a7nqjheb_en_p_480x854_22.png","false","37720","max-age=60480000","Not found","Not found","Not found"
"I/System.out( 3745): URLConn","9","<e.w.hd: e.w.hu a(e.w.hs)>","$r18 = virtualinvoke $r4.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","http://gop1.co/res/1/puzzle_a7nqjheb_en_p_480x854_1.png","false","159854","max-age=60480000","Not found","Not found","Not found"
"I/System.out( 3745): URLConn","10","<e.w.hd: e.w.hu a(e.w.hs)>","$r18 = virtualinvoke $r4.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","http://gop1.co/res/1/instar_a7nqjheb_en_p_480x854_23.jpg","false","43758","max-age=60480000","Not found","Not found","Not found"
