category,avg. #Expires,avg. Expires%,avg. trusty Expires %,avg #cacheControl,avg. cacheControl%,avg. trustworthy cachecontrol %,"min (10,30,60)","max (10,30,60)","avg (10,30,60)"
.\ART_AND_DESIGN.csv ,0.666666667,36.11111111,0,4.333333333,66.66666667,54.16666667,10,10,10
.\AUTO_AND_VEHICLES.csv ,2.428571429,82.85714286,16.66666667,2.428571429,82.85714286,83.33333333,10,10,10
.\BEAUTY.csv ,4.375,21.95132902,100,4.75,53.20132902,74.07407407,10,10,10
.\BOOKS_AND_REFERENCE.csv ,1.6,30.92413273,32.14285714,6.2,45.37397504,62.04594017,10,10,10
.\BUSINESS.csv ,1.5,52.08333333,17.85714286,3.25,73.66666667,73.39418526,10,10,10
.\COMICS.csv ,11.18518519,42.5995141,52.96982429,12.66666667,50.02208808,65.7947289,30,10,10.1459854
.\COMMUNICATION.csv ,1.333333333,47.91666667,9.259259259,1.75,62.79761905,74.24242424,10,10,10
.\DATING.csv ,1.5,59.34640523,0,5.5,77.86764706,80.72916667, NO REQ CHANGED , NO REQ CHANGED , NO REQ CHANGED
.\EDUCATION.csv ,2.12,63.06258503,18.71212121,5.76,85.39669031,80.01062925,10,10,10
.\ENTERTAINMENT.csv ,10.5625,71.10668797,18.75,12.9375,82.35479246,82.0941092,60,10,12.17391304
.\EVENTS.csv ,4.833333333,56.50510204,47.61904762,5.166666667,60.67176871,74.17582418,30,10,10.95238095
.\FINANCE.csv ,4.7,90.75,21.92982456,4.7,90.75,78.07017544,10,10,10
.\FOOD_AND_DRINK.csv ,1.625,58.9745671,12.87878788,3.125,83.18091631,63.1270903,60,10,26.66666667
.\GAMING.csv ,1.666666667,51.23800787,24.28571429,2.666666667,63.61740904,70.3505291,10,10,10
.\HEALTH_AND_FITNESS.csv ,1.047619048,59.60884354,19.79166667,1.476190476,70.20975057,84.46115288,10,10,10
.\HOUSE_AND_HOME.csv ,30.09090909,74.04471021,12.98826777,29.63636364,73.4220452,87.01173223,60,10,23.33333333
.\LIBRARIES_AND_DEMO.csv ,5.333333333,66.66666667,50,5.333333333,66.66666667,50, NO REQ CHANGED , NO REQ CHANGED , NO REQ CHANGED
.\LIFESTYLE.csv ,5.866666667,53.01209373,6.166666667,6.466666667,65.51625094,87.74104683,30,10,11.33333333
.\MAPS_AND_NAVIGATION.csv ,0.923076923,37.20797721,18.75,1.230769231,46.43874644,100,30,10,12
.\MEDICAL.csv ,0.833333333,47.01058201,6.060606061,1.5,71.78571429,87.5,10,10,10
.\MUSIC_AND_AUDIO.csv ,1.947368421,29.08509664,32.59259259,2.631578947,42.411175,73.60446571,10,10,10
.\NEWS_AND_MAGAZINES.csv ,37.07142857,52.99476693,47.06050465,43.57142857,70.38779923,70.99644732,10,10,10
.\PARENTING.csv ,0.833333333,44.44444444,0,0.833333333,44.44444444,100, NO REQ CHANGED , NO REQ CHANGED , NO REQ CHANGED
.\PERSONALIZATION.csv ,14.35714286,35.4763823,43.96973302,15.85714286,39.41411123,80.12001425,60,10,15
.\PHOTOGRAPHY.csv ,1.909090909,66.07142857,14.07407407,2.090909091,68.66883117,78.51851852,10,10,10
.\PRODUCTIVITY.csv ,1.724137931,36.88980185,32.5,2.75862069,44.88651778,63.88888889,60,10,12
.\SHOPPING.csv ,8.1,64.17092466,10.33060956,8.6,81.73016091,90.36261631,60,10,13.5
.\SOCIAL.csv ,5.594594595,67.69343451,11.44824427,7.216216216,78.39953909,85.41248956,60,10,12.94117647
.\SPORTS.csv ,11.56521739,64.12302493,25.00203254,15.08695652,79.17070158,79.74358141,60,10,12
.\TOOLS.csv ,3.266666667,51.00577531,23.98119122,3.933333333,62.31012313,76.89205955,10,10,10
.\TRAVEL_AND_LOCAL.csv ,4.113636364,54.28355205,8.196116284,4.75,72.7584799,82.02196279,60,10,15.625
.\VIDEO_PLAYERS.csv ,2.727272727,31.01604278,34,3,32.62032086,75,30,10,11.66666667
.\WEATHER.csv ,3.5,35.09633341,57.77777778,4.5,47.51029899,60.9206096,60,10,15
