total apps: 9,,,,,,,,,,
Total number of requests: 479,,,,,,,,,,
Total number of GET requests: 82,,,,,,,,,,
Percentage of GET requests: 17.11899791231733%,,,,,,,,,,
Average number of requests per app: 53.22222222222222,,,,,,,,,,
Average number of GET requests per app: 9.11111111111111,,,,,,,,,,
Average number of expire requests: 274,,,,,,,,,,
Percentage of expire requests: 57.20250521920668%,,,,,,,,,,
Average number of expire requests per app: 30.444444444444443,,,,,,,,,,
Average data length per request: 858.0396825396825,,,,,,,,,,
Exceptions: 0,,,,,,,,,,
,,,,,,,,,,
prefix,id,body,stmt,urlString,isDoOutput,length,cacheControl,expires,age,setCookie,,,
"I/System.out(19488): URLConn","0","<com.facebook.GraphResponse: java.util.List fromHttpConnection(java.net.HttpURLConnection,com.facebook.GraphRequestBatch)>","$r5 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.7/1022567121199913?fields=supports_implicit_sdk_logging%2Cgdpv4_nux_content%2Cgdpv4_nux_enabled%2Cgdpv4_chrome_custom_tabs_enabled%2Candroid_dialog_configs%2Candroid_sdk_error_categories%2Capp_events_session_timeout&format=json&sdk=android","false","Not found","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out(19488): URLConn","1","<com.facebook.GraphResponse: java.util.List fromHttpConnection(java.net.HttpURLConnection,com.facebook.GraphRequestBatch)>","$r5 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.7/1022567121199913/activities?format=json&sdk=android","true","16","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out(19488): URLConn","2","<com.facebook.GraphResponse: java.util.List fromHttpConnection(java.net.HttpURLConnection,com.facebook.GraphRequestBatch)>","$r5 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.7/1022567121199913/activities?format=json&sdk=android","true","16","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out(19488): URLConn","3","<com.fyber.utils.b: java.io.InputStream c(java.net.HttpURLConnection)>","$r2 = virtualinvoke $r1.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://service.fyber.com/installs/v2?platform=android&client=sdk&sdk_features=MPI%2CVPL%2CJUD%2CBLE%2CINV%2CIVE&screen_width=1280&app_version=4.1.6&sdk_version=8.6.0&appid=A74852&os_version=4.4.2&google_ad_id=73ebbf1f-6d54-4944-bef3-a8c0b54838e4&google_ad_id_limited_tracking_enabled=false&network_connection_type=wifi&manufacturer=samsung&phone_version=samsung_SM-G9350&answer_received=0&language=ja_US&screen_density_y=72.0&screen_density_x=72.0&app_bundle_name=com.jaumo.prime&carrier_country=US&carrier_name=T-Mobile&screen_height=720","false","Not found","no-cache","Not found","Not found","Not found"
"I/System.out(19488): URLConn","4","<com.facebook.GraphResponse: java.util.List fromHttpConnection(java.net.HttpURLConnection,com.facebook.GraphRequestBatch)>","$r5 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.7/1022567121199913/activities?access_token=&format=json&sdk=android","true","16","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out(19488): URLConn","5","<com.flurry.sdk.ku: void i()>","$r24 = virtualinvoke $r4.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://data.flurry.com/aap.do","true","Not found","Not found","Not found","0","Not found"
"I/System.out(19749): URLConn","0","<com.facebook.GraphResponse: java.util.List fromHttpConnection(java.net.HttpURLConnection,com.facebook.GraphRequestBatch)>","$r5 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.4/147814204885?fields=supports_implicit_sdk_logging%2Cgdpv4_nux_content%2Cgdpv4_nux_enabled%2Candroid_dialog_configs%2Candroid_sdk_error_categories&format=json&sdk=android","false","Not found","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out(19749): URLConn","1","<com.facebook.GraphResponse: java.util.List fromHttpConnection(java.net.HttpURLConnection,com.facebook.GraphRequestBatch)>","$r5 = virtualinvoke $r0.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.4/147814204885/activities?format=json&sdk=android","true","16","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out(19749): URLConn","2","<com.appsflyer.AppsFlyerLib$AttributionIdFetcher: void run()>","$r20 = virtualinvoke $r19.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://api.appsflyer.com/install_data/v3/com.jnj.mocospace.android?devkey=eHZ73MSE4EzTaa9WKEBbbM&device_id=1523645806902-5073913670379364605","false","57","Not found","Not found","Not found","Not found"
"I/System.out(19999): URLConn","0","<com.appdynamics.eumagent.runtime.ae$3: java.io.InputStream a()>","$r2 = virtualinvoke $r1.<java.net.URLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.8/114828211898596?fields=supports_implicit_sdk_logging%2Cgdpv4_nux_content%2Cgdpv4_nux_enabled%2Cgdpv4_chrome_custom_tabs_enabled%2Candroid_dialog_configs%2Candroid_sdk_error_categories%2Capp_events_session_timeout%2Capp_events_feature_bitmask&format=json&sdk=android","false","Not found","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out(19999): URLConn","1","<com.appdynamics.eumagent.runtime.w: java.io.InputStream g()>","$r2 = virtualinvoke $r1.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://appd-eum.match.com/eumcollector/mobileMetrics?version=2","true","Not found","private, no-cache, no-store, must-revalidate, max-age=0, proxy-revalidate, s-maxage=0","0","Not found","Not found"
"I/System.out(19999): URLConn","2","<com.appdynamics.eumagent.runtime.w: java.io.InputStream g()>","$r2 = virtualinvoke $r1.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://appd-eum.match.com/eumcollector/mobileAgentCount","false","Not found","private, no-cache, no-store, must-revalidate, max-age=0, proxy-revalidate, s-maxage=0","0","Not found","Not found"
"I/System.out(19999): OkHttpP","3","<okhttp3.internal.cache.CacheInterceptor: okhttp3.Response intercept(okhttp3.Interceptor$Chain)>","$r11 = interfaceinvoke $r1.<okhttp3.Interceptor$Chain: okhttp3.Response proceed(okhttp3.Request)>($r3)","https://g3.match.com/rest/session/sitecode=1","POST","[214]","[private]","[]","[]","[]",""
"I/System.out(19999): OkHttpP","4","<okhttp3.internal.http.BridgeInterceptor: okhttp3.Response intercept(okhttp3.Interceptor$Chain)>","$r12 = interfaceinvoke $r1.<okhttp3.Interceptor$Chain: okhttp3.Response proceed(okhttp3.Request)>($r11)","https://g3.match.com/rest/session/sitecode=1","POST","[214]","[private]","[]","[]","[]",""
"I/System.out(19999): OkHttpP","5","<com.match.android.networklib.core.b$a: okhttp3.Response intercept(okhttp3.Interceptor$Chain)>","$r7 = interfaceinvoke $r1.<okhttp3.Interceptor$Chain: okhttp3.Response proceed(okhttp3.Request)>($r6)","https://g3.match.com/rest/session/sitecode=1","POST","[214]","[private]","[]","[]","[]",""
"I/System.out(19999): OkHttpP","6","<okhttp3.RealCall: okhttp3.Response getResponseWithInterceptorChain()>","$r13 = interfaceinvoke $r12.<okhttp3.Interceptor$Chain: okhttp3.Response proceed(okhttp3.Request)>($r3)","https://g3.match.com/rest/session/sitecode=%7Bsitecode%7D","POST","[214]","[private]","[]","[]","[]",""
"I/System.out(19999): URLConn","7","<com.appdynamics.eumagent.runtime.ae$3: java.io.InputStream a()>","$r2 = virtualinvoke $r1.<java.net.URLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.8/114828211898596/activities?access_token=&format=json&sdk=android","true","16","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out(19999): URLConn","8","<com.appdynamics.eumagent.runtime.w: java.io.InputStream g()>","$r2 = virtualinvoke $r1.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://appd-eum.match.com/eumcollector/mobileMetrics?version=2","true","Not found","private, no-cache, no-store, must-revalidate, max-age=0, proxy-revalidate, s-maxage=0","0","Not found","Not found"
"I/System.out(19999): URLConn","9","<com.appdynamics.eumagent.runtime.ae$3: java.io.InputStream a()>","$r2 = virtualinvoke $r1.<java.net.URLConnection: java.io.InputStream getInputStream()>()","https://graph.facebook.com/v2.8/114828211898596/activities?format=json&sdk=android","true","16","private, no-cache, no-store, must-revalidate","Sat, 01 Jan 2000 00:00:00 GMT","Not found","Not found"
"I/System.out(19999): URLConn","10","<com.appdynamics.eumagent.runtime.w: java.io.InputStream g()>","$r2 = virtualinvoke $r1.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://appd-eum.match.com/eumcollector/mobileMetrics?version=2","true","Not found","private, no-cache, no-store, must-revalidate, max-age=0, proxy-revalidate, s-maxage=0","0","Not found","Not found"
"I/System.out(19999): URLConn","11","<com.appdynamics.eumagent.runtime.ae$3: java.io.InputStream a()>","$r2 = virtualinvoke $r1.<java.net.URLConnection: java.io.InputStream getInputStream()>()","https://settings.crashlytics.com/spi/v2/platforms/android/apps/com.match.android.matchmobile/settings?instance=d8c57ef002a98139c818d7310ad86e8bf4200733&source=1&build_version=172&icon_hash=87ed744c5ce3603178a7dfe579ce50c18a45cc57&display_version=4.9.2","false","Not found","Not found","Not found","Not found","Not found"
"I/System.out(19999): URLConn","12","<com.appdynamics.eumagent.runtime.w: java.io.InputStream g()>","$r2 = virtualinvoke $r1.<java.net.HttpURLConnection: java.io.InputStream getInputStream()>()","https://appd-eum.match.com/eumcollector/mobileMetrics?version=2","true","Not found","private, no-cache, no-store, must-revalidate, max-age=0, proxy-revalidate, s-maxage=0","0","Not found","Not found"
"I/System.out(19999): OkHttpP","13","<okhttp3.internal.cache.CacheInterceptor: okhttp3.Response intercept(okhttp3.Interceptor$Chain)>","$r11 = interfaceinvoke $r1.<okhttp3.Interceptor$Chain: okhttp3.Response proceed(okhttp3.Request)>($r3)","https://g3.match.com/api/track/pagecode","POST","[22]","[no-cache]","[-1]","[]","[]",""
"I/System.out(19999): OkHttpP","14","<okhttp3.internal.http.BridgeInterceptor: okhttp3.Response intercept(okhttp3.Interceptor$Chain)>","$r12 = interfaceinvoke $r1.<okhttp3.Interceptor$Chain: okhttp3.Response proceed(okhttp3.Request)>($r11)","https://g3.match.com/api/track/pagecode","POST","[22]","[no-cache]","[-1]","[]","[]",""
"I/System.out(19999): OkHttpP","15","<com.match.android.networklib.core.b$a: okhttp3.Response intercept(okhttp3.Interceptor$Chain)>","$r7 = interfaceinvoke $r1.<okhttp3.Interceptor$Chain: okhttp3.Response proceed(okhttp3.Request)>($r6)","https://g3.match.com/api/track/pagecode","POST","[22]","[no-cache]","[-1]","[]","[]",""
"I/System.out(19999): OkHttpP","16","<okhttp3.RealCall: okhttp3.Response getResponseWithInterceptorChain()>","$r13 = interfaceinvoke $r12.<okhttp3.Interceptor$Chain: okhttp3.Response proceed(okhttp3.Request)>($r3)","https://g3.match.com/api/track/pagecode","POST","[22]","[no-cache]","[-1]","[]","[]",""
"I/System.out(19999): OkHttpP","17","<okhttp3.internal.cache.CacheInterceptor: okhttp3.Response intercept(okhttp3.Interceptor$Chain)>","$r11 = interfaceinvoke $r1.<okhttp3.Interceptor$Chain: okhttp3.Response proceed(okhttp3.Request)>($r3)","https://g3.match.com/api/track/pagecode","POST","[22]","[no-cache]","[-1]","[]","[]",""
"I/System.out(19999): OkHttpP","18","<okhttp3.internal.http.BridgeInterceptor: okhttp3.Response intercept(okhttp3.Interceptor$Chain)>","$r12 = interfaceinvoke $r1.<okhttp3.Interceptor$Chain: okhttp3.Response proceed(okhttp3.Request)>($r11)","https://g3.match.com/api/track/pagecode","POST","[22]","[no-cache]","[-1]","[]","[]",""
"I/System.out(19999): OkHttpP","19","<com.match.android.networklib.core.b$a: okhttp3.Response intercept(okhttp3.Interceptor$Chain)>","$r7 = interfaceinvoke $r1.<okhttp3.Interceptor$Chain: okhttp3.Response proceed(okhttp3.Request)>($r6)","https://g3.match.com/api/track/pagecode","POST","[22]","[no-cache]","[-1]","[]","[]",""
