sep=;
#reqs before duplication removal: 26
#reqs after duplication removal: 26
Sending all requests: 2018-04-14 09:53:10
Sleeping for 10 seconds
Sending round 2 of requests at 2018-04-14 09:53:20
Sleeping for 20 seconds
Sending round 3 of requests at 2018-04-14 09:53:40
Sleeping for 30 seconds
Sending round 4 of requests at 2018-04-14 09:54:10
url;changed after 10s;changed after 30s;changed after 60s;response time;expires;cacheControl;expires reliable;cacheControl reliable
http://usa.ime.cootek.com/ad/keyboard?nt=WIFI&adn=1&prt=1523563271494&at=TUWEN&h=1280&w=720&v=77&tz=-7&le=en-us&tu=509&token=9024084c-1a71-4f7f-9e15-1ed7cbcfdc1c&adclass=EMBEDDED&mnc=31016&rt=JSON&ch=keyboard_theme_water;False;False;False;134315;Sat, 14 Apr 2018 09:53:09 GMT;['no-cache'];True;N/A
http://usa.ime.cootek.com/ad/sspstat?nt=WIFI&gaid=3ae8f2f4-1b58-4ed6-816b-3ee6c7e3745e&adn=1&osv=4.4.2&prt=1523563270182&sspid=1&type=1&v=77&tz=-7&di=U00tRzk1NU4=&le=en-us&tu=513&s=B09F84FF276D5ED3B91CEFD9F37ABF0D&token=9024084c-1a71-4f7f-9e15-1ed7cbcfdc1c&mnc=31016&mf=c2Ftc3VuZw==&ch=keyboard_theme_water;False;False;False;128394;Sat, 14 Apr 2018 09:53:09 GMT;['no-cache'];True;N/A
http://usa.ime.cootek.com/ad/sspstat?nt=WIFI&gaid=3ae8f2f4-1b58-4ed6-816b-3ee6c7e3745e&adn=1&osv=4.4.2&prt=1523563273337&sspid=1&type=1&v=77&tz=-7&di=U00tRzk1NU4=&le=en-us&tu=509&s=713CB6D7676B1F9FE20AD784600C913F&token=9024084c-1a71-4f7f-9e15-1ed7cbcfdc1c&mnc=31016&mf=c2Ftc3VuZw==&ch=keyboard_theme_water;False;False;False;14715;Sat, 14 Apr 2018 09:53:09 GMT;['no-cache'];True;N/A
http://usa.ime.cootek.com/ad/sspstat?sspid=0&tu=513&s=CFCFE0B7DE423C109D1B4C74AE8A53F8&type=2&token=9024084c-1a71-4f7f-9e15-1ed7cbcfdc1c&prt=1523563272891;False;False;False;14660;Sat, 14 Apr 2018 09:53:09 GMT;['no-cache'];True;N/A
http://usa.ime.cootek.com/ad/sspstat?nt=WIFI&gaid=3ae8f2f4-1b58-4ed6-816b-3ee6c7e3745e&osv=4.4.2&prt=1523563269547&sspid=0&type=1&v=77&tz=-7&di=U00tRzk1NU4=&le=en-us&tu=504&s=EE23C5163E2C21A702B063093AE6EBF3&token=9024084c-1a71-4f7f-9e15-1ed7cbcfdc1c&mnc=31016&mf=c2Ftc3VuZw==&ch=keyboard_theme_water;False;False;False;14700;Sat, 14 Apr 2018 09:53:09 GMT;['no-cache'];True;N/A
http://usa.ime.cootek.com/ad/sspstat?nt=WIFI&gaid=3ae8f2f4-1b58-4ed6-816b-3ee6c7e3745e&adn=1&osv=4.4.2&prt=1523563273171&sspid=2&type=1&v=77&placementid=164814550552369_340590939641395&tz=-7&di=U00tRzk1NU4=&le=en-us&tu=504&s=60F05080FF7335AEF02AA22C0BEBEEC9&token=9024084c-1a71-4f7f-9e15-1ed7cbcfdc1c&mnc=31016&mf=c2Ftc3VuZw==&ch=keyboard_theme_water;False;False;False;15902;Sat, 14 Apr 2018 09:53:09 GMT;['no-cache'];True;N/A
http://usa.ime.cootek.com/ad/sspstat?sspid=0&tu=513&s=8915BC8968D36D70DFD7A1494FED3495&type=2&token=9024084c-1a71-4f7f-9e15-1ed7cbcfdc1c&prt=1523563273689;False;False;False;13849;Sat, 14 Apr 2018 09:53:09 GMT;['no-cache'];True;N/A
http://usa.ime.cootek.com/ad/sspstat?nt=WIFI&gaid=3ae8f2f4-1b58-4ed6-816b-3ee6c7e3745e&osv=4.4.2&prt=1523563273645&sspid=0&type=1&v=77&tz=-7&di=U00tRzk1NU4=&le=en-us&tu=513&s=8915BC8968D36D70DFD7A1494FED3495&token=9024084c-1a71-4f7f-9e15-1ed7cbcfdc1c&mnc=31016&mf=c2Ftc3VuZw==&ch=keyboard_theme_water;False;False;False;14158;Sat, 14 Apr 2018 09:53:09 GMT;['no-cache'];True;N/A
http://usa.ime.cootek.com/ad/sspstat?nt=WIFI&gaid=3ae8f2f4-1b58-4ed6-816b-3ee6c7e3745e&adn=1&osv=4.4.2&prt=1523563268660&sspid=1&type=1&v=77&tz=-7&di=U00tRzk1NU4=&le=en-us&tu=504&s=519ABD3F1A20C4C89F9E9F6C72122AD6&token=&mnc=31016&mf=c2Ftc3VuZw==&ch=keyboard_theme_water;False;False;False;14286;Sat, 14 Apr 2018 09:53:09 GMT;['no-cache'];True;N/A
http://usa.ime.cootek.com/ad/sspstat?nt=WIFI&gaid=3ae8f2f4-1b58-4ed6-816b-3ee6c7e3745e&adn=1&osv=4.4.2&prt=1523563270634&sspid=4&type=1&v=77&placementid=ca-app-pub-5943120796997934/7075790009&tz=-7&di=U00tRzk1NU4=&le=en-us&tu=513&s=5060BA40C3685E765E0089793ACA1F10&token=9024084c-1a71-4f7f-9e15-1ed7cbcfdc1c&mnc=31016&mf=c2Ftc3VuZw==&ch=keyboard_theme_water;False;False;False;13863;Sat, 14 Apr 2018 09:53:09 GMT;['no-cache'];True;N/A
